Strain,Stress [Mpa]
0,0
0.025303885,0.0320493
0.050000567,0.0633269
0.085964406,0.108873
0.13764492,0.174326
0.210564021,0.266669
0.309795376,0.392345
0.400186586,0.506853
0.483198406,0.612055
0.559973526,0.709418
0.631424384,0.800068
0.698262154,0.884873
0.761075383,0.964549
0.77624498,0.983791
0.781868217,0.990927
0.783972493,0.993593
0.787113801,0.997577
0.788289864,0.99907
0.788731798,0.999629
0.789393985,1.00047
0.789639528,1.00078
0.78973312,1.0009
0.789874887,1.00107
0.789925513,1.00114
0.789945414,1.00117
0.789973344,1.0012
0.789988007,1.00122
0.790004764,1.00124
0.790030249,1.00127
0.790073187,1.00132
0.790132181,1.0014
0.790154172,1.00143
0.790187681,1.00148
0.790187681,1.00148
