Strain,Stress [Mpa]
0,0
0.025303143,0.031993
0.049999103,0.0632188
0.085961935,0.108683
0.137641971,0.174025
0.210559846,0.266216
0.309788605,0.391701
0.400177306,0.506057
0.483182274,0.611142
0.55995595,0.708421
0.631399837,0.799016
0.69823001,0.883792
0.761026509,0.963457
0.776190825,0.982699
0.781816477,0.989835
0.790187681,1.00045
0.790972726,1.00145
0.791266697,1.00182
0.79170697,1.00238
0.79187041,1.00259
0.792118831,1.0029
0.792211842,1.00302
0.792350123,1.00319
0.792400276,1.00326
0.792414904,1.00327
0.792429183,1.00329
0.792449033,1.00332
0.792476894,1.00336
0.792522165,1.00342
0.792586934,1.00349
0.792691043,1.00358
0.792740831,1.00352
0.792740831,1.00352
