Strain,Stress [Mpa]
0,0
0.011970072,0.0113557
0.023903228,0.0226831
0.041733579,0.0396209
0.068321357,0.064906
0.107845825,0.102556
0.16560257,0.157707
0.222390201,0.212091
0.278195214,0.265688
0.333009104,0.318481
0.386821276,0.370455
0.439626034,0.4216
0.491434832,0.471913
0.542246768,0.521394
0.592084822,0.57005
0.640958749,0.617901
0.688904861,0.66496
0.735874559,0.711229
0.782472822,0.757024
0.82790532,0.801991
0.872812435,0.846497
0.917327528,0.890712
0.961929268,0.935103
1.008531965,0.981579
1.017754063,0.990797
