Strain,Stress [Mpa]
0,0
0.025292073,0.0315937
0.049978176,0.0624187
0.085928053,0.107264
0.137593774,0.171536
0.210502574,0.261597
0.309755874,0.381921
0.400239169,0.487411
0.483474507,0.578539
0.560761066,0.655793
0.57934386,0.673075
0.606693131,0.697495
0.633669473,0.720349
0.640408713,0.725863
0.642939127,0.727908
0.643174471,0.728099
0.643531022,0.728383
0.643564568,0.728409
0.643615087,0.728448
0.643615087,0.728448
