Strain,Stress [Mpa]
0,0
0.025292343,0.034941
0.049976713,0.0689864
0.085924736,0.11836
0.137589484,0.188615
0.210511486,0.285543
0.309831491,0.411444
0.400435043,0.518274
0.483853904,0.608882
0.561357567,0.686516
0.634061254,0.754749
0.702901757,0.81742
0.767503336,0.877251
0.826404064,0.936109
0.880665148,0.99894
0.89374053,1.01623
0.913598187,1.04374
0.91782156,1.04979
0.919015018,1.05152
0.920204908,1.05329
0.921984645,1.05593
0.924651987,1.05991
0.928637276,1.06596
0.934589061,1.07519
0.94346282,1.08939
0.956646304,1.11155
0.97614445,1.14687
1.004772054,1.20504
1.046334704,1.30508
1.056561709,1.33391
1.066622172,1.36316
1.081533947,1.40943
1.103513336,1.48458
1.135646936,1.61137
1.176469652,1.80683
1.215761505,2.03922
1.253614694,2.31307
1.280095888,2.53932
