Strain,Stress [Mpa]
0,0
-0.004009146,-0.004155689
-0.00803443,-0.008328683
-0.0141029,-0.014620676
-0.023275178,-0.024131773
-0.037193419,-0.03856348
-0.058175703,-0.060308594
-0.079607696,-0.082489796
-0.101509275,-0.105107577
-0.123901113,-0.128162124
-0.146805853,-0.15165248
-0.170247542,-0.175577689
-0.194251962,-0.199935532
-0.218846796,-0.224723421
-0.244061821,-0.249938634
-0.269929126,-0.275575565
-0.296483357,-0.301631269
-0.323761995,-0.328097495
-0.351805675,-0.354967886
-0.380658551,-0.382233054
-0.410368711,-0.409885313
-0.440988664,-0.437913097
-0.472575895,-0.466302541
-0.505193514,-0.495040947
-0.511012308,-0.500105033
