Strain,Stress [Mpa]
0,0
0.011970731,0.0113746
0.02390466,0.0227196
0.041738055,0.0396793
0.068332565,0.0649888
0.107873954,0.102656
0.165669229,0.157792
0.222511885,0.212114
0.278383979,0.265603
0.333280482,0.318244
0.387187983,0.370024
0.440102685,0.420937
0.492030089,0.470979
0.542971368,0.520153
0.592943715,0.568474
0.641976686,0.615961
0.690085833,0.662651
0.737167256,0.708693
0.784008083,0.753635
0.829712716,0.798253
0.874918586,0.842367
0.919841753,0.886249
0.965179939,0.930585
1.016840494,0.982408
1.017915478,0.983986
1.018387527,0.984733
1.01930209,0.986371
1.019424771,0.986616
1.019641229,0.98708
1.019751845,0.987331
1.019838405,0.987532
1.019977848,0.987875
1.019977848,0.987875
