Strain,Stress [Mpa],,,,,,stretch,,642.4242817
0,0,,0,0,0,0,1,0,
-0.004009146,-0.003808544,,-2.45653,-0.003808544,-0.050014,-0.00400112,0.99599888,-0.004009146,
-0.00803443,-0.007631948,,-4.9425,-0.007631948,-0.100028,-0.00800224,0.99199776,-0.00803443,
-0.0141029,-0.013395181,,-8.72761,-0.013395181,-0.175049,-0.01400392,0.98599608,-0.0141029,
-0.023275178,-0.022104101,,-14.5346,-0.022104101,-0.28758,-0.0230064,0.9769936,-0.023275178,
-0.037193419,-0.035314524,,-23.5466,-0.035314524,-0.456378,-0.03651024,0.96348976,-0.037193419,
-0.058175703,-0.055219201,,-37.5991,-0.055219201,-0.706448,-0.05651584,0.94348416,-0.058175703,
-0.079607696,-0.075537231,,-52.548,-0.075537231,-0.956518,-0.07652144,0.92347856,-0.079607696,
-0.101509275,-0.096286674,,-68.4657,-0.096286674,-1.20659,-0.0965272,0.9034728,-0.101509275,
-0.123901113,-0.11748652,,-85.4318,-0.11748652,-1.45666,-0.1165328,0.8834672,-0.123901113,
-0.146805853,-0.139156685,,-103.534,-0.139156685,-1.70673,-0.1365384,0.8634616,-0.146805853,
-0.170247542,-0.161319305,,-122.87,-0.161319305,-1.9568,-0.156544,0.843456,-0.170247542,
-0.194251962,-0.183999087,,-143.549,-0.183999087,-2.20687,-0.1765496,0.8234504,-0.194251962,
-0.218846796,-0.207218141,,-165.689,-0.207218141,-2.45694,-0.1965552,0.8034448,-0.218846796,
-0.244061821,-0.23100461,,-189.425,-0.23100461,-2.70701,-0.2165608,0.7834392,-0.244061821,
-0.269929126,-0.255388834,,-214.908,-0.255388834,-2.95708,-0.2365664,0.7634336,-0.269929126,
-0.296483357,-0.280399704,,-242.304,-0.280399704,-3.20715,-0.256572,0.743428,-0.296483357,
-0.323761995,-0.306073583,,-271.804,-0.306073583,-3.45722,-0.2765776,0.7234224,-0.323761995,
-0.351805675,-0.332443851,,-303.618,-0.332443851,-3.70729,-0.2965832,0.7034168,-0.351805675,
-0.380658551,-0.359553893,,-337.99,-0.359553893,-3.95736,-0.3165888,0.6834112,-0.380658551,
-0.410368711,-0.387443554,,-375.19,-0.387443554,-4.20743,-0.3365944,0.6634056,-0.410368711,
-0.440988664,-0.416162111,,-415.531,-0.416162111,-4.4575,-0.3566,0.6434,-0.440988664,
-0.472575895,-0.445759638,,-459.367,-0.445759638,-4.70757,-0.3766056,0.6233944,-0.472575895,
-0.480631425,-0.453303101,,-470.919,-0.453303101,-4.77009,-0.3816072,0.6183928,-0.480631425,
-0.492836404,-0.464730467,,-488.719,-0.464730467,-4.86386,-0.3891088,0.6108912,-0.492836404,
-0.511012308,-0.481739293,,-515.898,-0.481739293,-5.0014,-0.400112,0.599888,-0.511012308,
