Strain,Stress [Mpa]
0,0
0.011971916,0.0124049
0.023911169,0.0247668
0.041761073,0.043223
0.068409146,0.0706971
0.108115118,0.111383
0.166424194,0.170334
0.22421551,0.227461
0.281595084,0.282515
0.33867077,0.33528
0.395522511,0.385598
0.452212977,0.433402
0.508763499,0.47875
0.56511682,0.521899
0.621343219,0.56312
0.676167166,0.603367
0.728807074,0.642831
0.777589427,0.681929
0.822073821,0.721304
0.861927467,0.762308
0.898243523,0.804744
0.930911328,0.84916
0.960779595,0.896209
0.988452621,0.946479
0.99312337,0.955687
