Strain,Stress [Mpa]
0,0
0.011970467,0.0113745
0.02390453,0.0227187
0.041737415,0.0396779
0.068332565,0.0649868
0.107872757,0.102654
0.165666969,0.157791
0.222507616,0.212115
0.278380951,0.265608
0.333271883,0.318254
0.387174404,0.370041
0.440085512,0.420962
0.49200971,0.471012
0.542948127,0.520198
0.592921607,0.568529
0.641941602,0.61603
0.690045709,0.662731
0.737122598,0.708784
0.783959381,0.753747
0.829654557,0.798376
0.87485188,0.842501
0.919759376,0.886395
0.965070737,0.930736
1.016304982,0.981923
1.017238325,0.983151
1.018984495,0.985768
1.020143712,0.988054
1.020249465,0.988303
1.020249465,0.988303
