Strain,Stress [Mpa]
0,0
0.011971126,0.0113722
0.02390453,0.0227163
0.041737415,0.039674
0.068331319,0.0649809
0.10787156,0.102646
0.16566358,0.157781
0.222500678,0.212105
0.278370857,0.2656
0.333254685,0.318249
0.387156298,0.370041
0.440059753,0.420966
0.491977101,0.471022
0.542905517,0.520213
0.592873704,0.568547
0.641885465,0.616046
0.689982177,0.662724
0.737052417,0.708531
0.783874146,0.754003
0.82955568,0.79857
0.874735135,0.842689
0.919618522,0.886591
0.964885321,0.930933
1.015520493,0.981308
1.019391095,0.986466
1.019958616,0.987459
1.020223028,0.987958
1.020857332,0.989345
1.020857332,0.989345
