Strain,Stress [Mpa]
0,0
0.02530378,0.0320448
0.050000421,0.0633209
0.085964335,0.108859
0.137644786,0.174302
0.210563834,0.266634
0.309795376,0.392294
0.400186586,0.50679
0.483197931,0.611982
0.559973087,0.709338
0.631423157,0.799983
0.698261006,0.884786
0.761069993,0.964459
0.776239317,0.983701
0.781865753,0.990836
0.783966522,0.993502
0.787107849,0.997483
0.788287066,0.998978
0.788729351,0.999539
0.789388046,1.00037
0.789637084,1.00069
0.790007208,1.00116
0.790149285,1.00134
0.790354162,1.0016
0.790433379,1.00169
0.790433379,1.00169
