Strain,Stress [Mpa]
0,0
-0.004009146,-0.003808187
-0.00803443,-0.007631223
-0.0141029,-0.013393845
-0.023275178,-0.02210182
-0.037193419,-0.035310475
-0.058175703,-0.055212298
-0.079607696,-0.075527025
-0.101509275,-0.096272611
-0.123901113,-0.117467817
-0.146805853,-0.139133836
-0.170247542,-0.161290421
-0.194251962,-0.183961915
-0.218846796,-0.207174369
-0.244061821,-0.230953391
-0.269929126,-0.255328227
-0.296483357,-0.28033027
-0.323761995,-0.305992506
-0.351805675,-0.332351876
-0.358941511,-0.3390545
-0.369740499,-0.349197163
-0.386162606,-0.364613651
-0.411310962,-0.388207323
-0.441960227,-0.416936623
-0.473578652,-0.446546927
-0.506229535,-0.477092567
-0.511012308,-0.481564675
