Strain,Stress [Mpa]
0,0
0.025292343,0.0349376
0.049976713,0.0689796
0.085924736,0.118348
0.137589484,0.188595
0.210511549,0.28551
0.309831491,0.411389
0.400435043,0.518198
0.483854379,0.608792
0.561357567,0.686428
0.634055134,0.754687
0.702874714,0.817406
0.767439064,0.877131
0.782703777,0.891921
0.804889443,0.913965
0.810321826,0.919497
0.81570172,0.925087
0.823699284,0.933648
0.826669294,0.936626
0.831105156,0.941437
0.837743905,0.948004
0.847509706,0.959684
0.861956706,0.976147
0.88342387,1.00335
0.885181988,1.00523
0.885674494,1.00586
0.886166441,1.0065
0.886902164,1.00745
0.888004894,1.00889
0.889657029,1.01105
0.892131385,1.01431
0.895832105,1.01925
0.901359506,1.02675
0.909594516,1.03824
0.921836862,1.05604
0.939956476,1.0841
0.966616712,1.12974
1.005463233,1.20716
1.017197529,1.2337
1.034507178,1.27569
1.059963678,1.34458
1.097040798,1.4627
1.139372743,1.62894
1.180063944,1.8279
1.219224822,2.06408
1.256951547,2.34213
1.280099523,2.54174
